Time_block_type,block_ids
One_165,"['One_165_M_1315', 'One_165_T_1315', 'One_165_W_1315', 'One_165_TH_1315', 'One_165_F_1315']"
One_180,"['One_180_M_1315', 'One_180_T_1315', 'One_180_W_1315', 'One_180_TH_1315', 'One_180_F_1315']"
One_180N,"['One_180N_M_1900', 'One_180N_T_1900', 'One_180N_W_1900', 'One_180N_TH_1900', 'One_180N_F_1900']"
One_195,"['One_195_M_1315', 'One_195_T_1315', 'One_195_W_1315', 'One_195_TH_1315', 'One_195_F_1315']"
One_225,"['One_225_M_1315', 'One_225_T_1315', 'One_225_W_1315', 'One_225_TH_1315', 'One_225_F_1315']"
One_240,"['One_240_M_1315', 'One_240_T_1315', 'One_240_W_1315', 'One_240_TH_1315', 'One_240_F_1315']"
One_50,"['One_50_M_1315', 'One_50_T_1315', 'One_50_W_1315', 'One_50_TH_1315', 'One_50_F_1315']"
One_75,"['One_75_M_1315', 'One_75_T_1315', 'One_75_W_1315', 'One_75_TH_1315', 'One_75_F_1315', 'One_75_M_1445', 'One_75_T_1445', 'One_75_W_1445', 'One_75_TH_1445', 'One_75_F_1445', 'One_75_T_800', 'One_75_TH_800']"
One_90,"['One_90_M_1315', 'One_90_T_1315', 'One_90_W_1315', 'One_90_TH_1315', 'One_90_F_1315', 'One_90_M_1500', 'One_90_T_1500', 'One_90_W_1500', 'One_90_TH_1500', 'One_90_F_1500']"
Three_50,"['Three_50_MWF_830', 'Three_50_MWF_930', 'Three_50_MWF_1030', 'Three_50_MWF_1130']"
Two_120,"['Two_120_MW_1315', 'Two_120_WF_1315', 'Two_120_TTH_1315']"
Two_160,['Two_160_TTH_830']
Two_180,['Two_180_TTH_1900']
Two_50,"['Two_50_MW_830', 'Two_50_MW_930', 'Two_50_MW_1030', 'Two_50_MW_1130', 'Two_50_MF_830', 'Two_50_MF_930', 'Two_50_MF_1030', 'Two_50_MF_1130']"
Two_75,"['Two_75_MW_900', 'Two_75_MW_1030', 'Two_75_MW_1315', 'Two_75_MW_1440', 'Two_75_TTH_830', 'Two_75_TTH_955', 'Two_75_TTH_1120', 'Two_75_TTH_1315', 'Two_75_TTH_1440', 'Two_75_TTH_1900']"
Two_90,"['Two_90_MW_1630', 'Two_90_TTH_1630', 'Two_90_MW_1800', 'Two_90_TTH_1800']"
