block_id,time,Time_block_type
Three_50_MWF_830,"[(""08:30"",""09:20"",""Monday""), (""08:30"",""09:20"",""Wednesday""), (“08:30"",""09:20"",""Friday"")]",Three_50
Three_50_MWF_930,"[(""09:30"",""10:20"",""Monday""), (""09:30"",""10:20"",""Wednesday""), (“09:30"",""10:20"",""Friday"")]",Three_50
Three_50_MWF_1030,"[(""10:30"",""11:20"",""Monday""), (""10:30"",""11:20"",""Wednesday""), (“10:30"",""11:20"",""Friday"")]",Three_50
Three_50_MWF_1130,"[(""11:30"",""12:20"",""Monday""), (""11:30"",""12:20"",""Wednesday""), (“11:30"",""12:20"",""Friday"")]",Three_50
Two_75_MW_900,"[(“09:00"",""10:15"",""Monday""), (“09:00"",""10:15"",""Wednesday"")]",Two_75
Two_75_MW_1030,"[(""10:30"",""11:45"",""Monday""), (“10:30"",""11:45"",""Wednesday"")]",Two_75
Two_75_MW_1315,"[(""13:15"",""14:30"",""Monday""), (“13:15”,""14:30"",""Wednesday"")]",Two_75
Two_75_MW_1440,"[(""14:40"",""15:55"",""Monday""), (“14:40”,”15:55"",""Wednesday"")]",Two_75
Two_75_TTH_830,"[(""08:30"",""09:45"",""Tuesday""), (“08:30"",""09:45"",""Thursday"")]",Two_75
Two_75_TTH_955,"[(""09:55"",""11:10"",""Tuesday""), (“09:55”,""11:10"",""Thursday"")]",Two_75
Two_75_TTH_1120,"[(""11:20"",""12:35"",""Tuesday""), (“11:20”,""12:35"",""Thursday"")]",Two_75
Two_75_TTH_1315,"[(""13:15"",""14:30"",""Tuesday""), (“13:15”,""14:30"",""Thursday"")]",Two_75
Two_75_TTH_1440,"[(""14:40"",""15:55"",""Tuesday""), (“14:40”,""15:55"",""Thursday"")]",Two_75
Two_75_TTH_1900,"[(""19:00"",""20:15"",""Tuesday""), (“19:00”,""20:15"",""Thursday"")]",Two_75
Two_90_MW_1630,"[(“16:30"",""18:00"",""Monday""), (“16:30"",""18:00"",""Wednesday"")]",Two_90
Two_90_TTH_1630,"[(“16:30"",""18:00"",""Tuesday""), (“16:30"",""18:00"",""Thursday"")]",Two_90
Two_90_MW_1800,"[(“18:00"",""19:30"",""Monday""), (“18:00”,""19:30"",""Wednesday"")]",Two_90
Two_90_TTH_1800,"[(“18:00"",""19:30"",""Tuesday""), (“18:00”,""19:30"",""Thursday"")]",Two_90
Two_120_MW_1315,"[(“13:15"",""15:15"",""Monday""), (“13:15”,”15:15"",""Wednesday"")]",Two_120
Two_120_WF_1315,"[(""13:15"",""15:15"",""Wednesday""), (“13:15”,”15:15"",""Friday"")]",Two_120
Two_120_TTH_1315,"[(""13:15"",""15:15"",""Tuesday""), (“13:15”,”15:15"",""Thursday"")]",Two_120
Two_160_TTH_830,"[(""08:30"",""11:10"",""Tuesday""), (“08:30”,""11:10"",""Thursday"")]",Two_160
Two_180_TTH_1900,"[(""19:00"",""22:00"",""Tuesday""), (“19:00”,”22:00"",""Thursday"")]",Two_180
