Section ID,Room ID
ENGL001F_Course^10127_5,Trotter Hall 210
SOCI1_Course^10113_1,Kohlberg 228
RUSS3_Course^10226_A,Kohlberg 116
ARTH001N_Seminar^10086_1,Beardsley 305
POLS73_Course^10036_1,Trotter Hall 301
ECON1_Course^10110_2,Kohlberg 226
SPAN1_Course^10123_1,Kohlberg 114
ANTH072C_Course^10140_1,Kohlberg 115
JPNS24_Course^10077_1,Science Center CUNNIFF
HIST001U_Seminar^10028_1,Trotter Hall 115
EDUC68_Course^10117_1,Pearson Hall 006
PHIL5_Course^10118_1,Beardsley 318
ARAB1_Course^10183_1,Kohlberg 114
PHIL79_Course^10118_1,Science Center 158
ENVS089A_Course^10150_1,Lang Center 106
PSYC135_Seminar^10207_1,Science Center 102
BIOL1_Lab^10192_C,Singer Hall 101D
CPSC091S_Course^10147_1,Science Center 204
JPNS19_Course^10218_1,Kohlberg 201
RUSS1_Course^10072_1,Kohlberg 318
CPSC091T_Lab^10119_A,Science Center 256
ECON176_Seminar^10153_A,Kohlberg 218
JPNS3_Course^10077_1,Kohlberg 116
ENGL80_Course^10189_1,Science Center L32
LATN1_Language^10202_1,Trotter Hall 210
ECON33_Course^10092_1,Science Center 104
MATH63_Course^10216_1,Science Center 104
ANTH002D_Seminar^10140_1,Kohlberg 114
RUSS1_Course^10226_A,Kohlberg 318
SPAN1_Course^10123_2,Kohlberg 116
ENGL28_Course^10189_1,TBA
POLS3_Course^10091_1,Trotter Hall 210
GMST9_Course^10094_1,Kohlberg 226
MATH46_Course^10210_1,Science Center 264
LING52_Course^10078_1,Pearson Hall 6
HIST116B_Seminar^10010_B,Trotter Hall 210
GMST54_Seminar^10182_1,Science Center CUNNIFF
RELG114_Seminar^10096_B,Pearson Hall 5
HIST69_Course^10005_1,Trotter Hall 201
EDUC45_Course^10006_1,Pearson Hall 006
PSYC102_Course^10061_1,Singer Hall 101D
MUSI040A_Course^10165_1,Lang Music Building 407
ENGL92_Course^10046_1,Science Center 104
ENGL78_Course^10152_1,Lang Perf Arts Ctr 301
PEAC45_Course^10220_1,Trotter Hall 210
POLS103_Seminar^10187_B,Trotter Hall 215
MATH28_Course^10083_1,Science Center 104
HIST116B_Seminar^10010_1,Trotter Hall 115
ENGR11_Lab^10157_B,Singer Hall 125
FMST46_Course^10214_1,Kohlberg 201
ENVS63_Lab^10038_B,Singer Hall 120
CHEM42_Lab^10188_A,Science Center 149
ECON76_Course^10153_1,Science Center 105
POLS101_Seminar^10018_A,Lang Center 106
ENVS10_Course^10016_1,Singer Hall 221
MATH25_Course^10141_2,Science Center 105
CHIN1_Course^10190_C,Kohlberg 114
CHIN1_Course^10190_A,Kohlberg 201
FREN116_Seminar^10225_B,Kohlberg 116
PHYS107_Course^10185_1,Science Center 145
CHIN156_Seminar^10116_B,Kohlberg 318
PHYS003L_Lab^10109_F,Science Center 102
DANC41_Course^10080_1,Lang Perf Arts Ctr 003
THEA3_Course^10221_1,Lang Perf Arts Ctr 2
BIOL115E_Seminar^10105_1,Singer Hall BALTTEMIN
CHIN1_Course^10190_B,Kohlberg 201
ENGL101_Seminar^10102_A,Lang Center 106
ECON1_Course^10121_4,Kohlberg 226
LING116_Seminar^10015_2,Beardsley 305
SPAN002B_Course^10123_1,Kohlberg 114
ECON31_Course^10200_2,Science Center 183
PSYC34_Course^10087_1,Science Center 183
POLS102_Seminar^10215_A,Trotter Hall 309
ENGR11_Lab^10157_C,Singer Hall 120
LING68_Course^10208_1,Pearson Hall 220
SOAN071B_Course^10186_1,Parrish Hall W237D
ECON002A_Course^10145_1,Kohlberg 116
MATH44_Course^10126_1,Science Center 105
PHYS003L_Course^10079_1,Singer Hall 034/035
