Section ID,Time Block
ENGL001F_Course^10127_5,Two_75_TTH_1315
SOCI1_Course^10113_1,Two_75_TTH_1120
RUSS3_Course^10226_A,Three_50_MWF_1130']
ARTH001N_Seminar^10086_1,One_165_TH_1315
POLS73_Course^10036_1,One_165_W_1315
ECON1_Course^10110_2,['Two_75_MW_900
SPAN1_Course^10123_1,['Two_75_MW_900
ANTH072C_Course^10140_1,One_165_T_1315
JPNS24_Course^10077_1,Two_75_MW_1440
HIST001U_Seminar^10028_1,One_165_T_1315
EDUC68_Course^10117_1,One_165_F_1315']
PHIL5_Course^10118_1,Two_75_TTH_830
ARAB1_Course^10183_1,Two_75_TTH_1440
PHIL79_Course^10118_1,Two_75_MW_1315
ENVS089A_Course^10150_1,Two_75_TTH_1440
PSYC135_Seminar^10207_1,One_180_W_1315
BIOL1_Lab^10192_C,One_180_T_1315
CPSC091S_Course^10147_1,Two_75_MW_1440
JPNS19_Course^10218_1,Three_50_MWF_1130']
RUSS1_Course^10072_1,Two_75_TTH_1900']
CPSC091T_Lab^10119_A,One_90_F_1315
ECON176_Seminar^10153_A,One_240_T_1315
JPNS3_Course^10077_1,Two_75_TTH_1900']
ENGL80_Course^10189_1,One_165_T_1315
LATN1_Language^10202_1,Two_50_MF_1030
ECON33_Course^10092_1,Two_75_MW_1315
MATH63_Course^10216_1,Three_50_MWF_930
ANTH002D_Seminar^10140_1,One_165_W_1315
RUSS1_Course^10226_A,['Three_50_MWF_830
SPAN1_Course^10123_2,Two_75_TTH_1440
ENGL28_Course^10189_1,Two_75_TTH_955
POLS3_Course^10091_1,Two_75_TTH_830
GMST9_Course^10094_1,Two_75_MW_1315
MATH46_Course^10210_1,Three_50_MWF_1130']
LING52_Course^10078_1,Two_75_TTH_955
HIST116B_Seminar^10010_B,One_165_W_1315
GMST54_Seminar^10182_1,One_180_F_1315']
RELG114_Seminar^10096_B,One_180_F_1315']
HIST69_Course^10005_1,Two_75_TTH_1900']
EDUC45_Course^10006_1,['One_165_M_1315
PSYC102_Course^10061_1,Three_50_MWF_1030
MUSI040A_Course^10165_1,One_50_TH_1315
ENGL92_Course^10046_1,['One_165_M_1315
ENGL78_Course^10152_1,Two_75_TTH_955
PEAC45_Course^10220_1,['Three_50_MWF_830
POLS103_Seminar^10187_B,One_165_W_1315
MATH28_Course^10083_1,Three_50_MWF_1130']
HIST116B_Seminar^10010_1,['One_165_M_1315
ENGR11_Lab^10157_B,One_165_W_1315
FMST46_Course^10214_1,['Two_75_MW_900
ENVS63_Lab^10038_B,One_180_F_1315']
CHEM42_Lab^10188_A,One_195_TH_1315
ECON76_Course^10153_1,Three_50_MWF_930
POLS101_Seminar^10018_A,One_240_F_1315']
ENVS10_Course^10016_1,Two_75_TTH_1900']
MATH25_Course^10141_2,Three_50_MWF_1030
CHIN1_Course^10190_C,Three_50_MWF_1030
CHIN1_Course^10190_A,Three_50_MWF_930
FREN116_Seminar^10225_B,One_165_F_1315']
PHYS107_Course^10185_1,Two_75_MW_1440
CHIN156_Seminar^10116_B,['One_165_M_1315
PHYS003L_Lab^10109_F,One_180_T_1315
DANC41_Course^10080_1,['Three_50_MWF_830
THEA3_Course^10221_1,Two_120_WF_1315
BIOL115E_Seminar^10105_1,One_165_W_1315
CHIN1_Course^10190_B,['Three_50_MWF_830
ENGL101_Seminar^10102_A,One_225_W_1315
ECON1_Course^10121_4,Three_50_MWF_1030
LING116_Seminar^10015_2,One_165_F_1315']
SPAN002B_Course^10123_1,Two_75_TTH_955
ECON31_Course^10200_2,Three_50_MWF_1030
PSYC34_Course^10087_1,Two_75_TTH_955
POLS102_Seminar^10215_A,One_240_TH_1315
ENGR11_Lab^10157_C,One_165_F_1315']
LING68_Course^10208_1,One_165_T_1315
SOAN071B_Course^10186_1,One_165_W_1315
ECON002A_Course^10145_1,Two_75_MW_1440
MATH44_Course^10126_1,['Three_50_MWF_830
PHYS003L_Course^10079_1,Three_50_MWF_1030
RUSS70_Lab^10072_1,One_165_W_1315
MATH34_Course^10063_1,Two_75_MW_1440
MATH39_Course^10100_2,Three_50_MWF_1030
BLST007A_Course^10191_1,Two_75_MW_1315
ENGL001C_Course^10143_2,One_165_W_1315
SOCI056C_Course^10113_1,One_180_F_1315']
SPAN4_Course^10160_1,Two_75_TTH_1315
PHIL001G_Course^10156_1,Three_50_MWF_1130']
ARTH001M_Course^10008_1,Two_75_TTH_1900']
ENVS63_Course^10038_1,Two_75_TTH_1900']
CHIN5_Course^10043_1,Two_75_TTH_955
ENGL36_Course^10024_1,One_165_F_1315']
ENVS9_Course^10154_1,['One_165_M_1315
GREK111_Seminar^10114_A,One_225_W_1315
